selamat malam	Good night
Kira-kira berapa lamakah yang akan diambil untuk sampai ke Amerika Selatan dari Amerika Utara?	About how long does it take to get to South America from North America?
About how long does it take to get to South America from North America?	Kira-kira berapa lamakah yang akan diambil untuk sampai ke Amerika Selatan dari Amerika Utara?
Ya, saya pernah ke London.	Yes, I have been to London.
Yes, I have been to London.	Ya, saya pernah ke London.
Ya, saya pernah ke Los Angeles.	Yes, I have been to Los Angeles.
Yes, I have been to Los Angeles.	Ya, saya pernah ke Los Angeles.
Pernahkah kamu ke Beijing?	Have you ever been to Beijing?
Have you ever been to Beijing?	Pernahkah kamu ke Beijing?
Pernahkah kamu ke Amerika?	Have you ever been to the United States?
Have you ever been to the United States?	Pernahkah kamu ke Amerika?
Tidak, saya tidak pernah ke Eropah tetapi saya ingin ke situ suatu hari nanti.	No, I have never been to Europe, but I want to go sometime.
No, I have never been to Europe, but I want to go sometime.	Tidak, saya tidak pernah ke Eropah tetapi saya ingin ke situ suatu hari nanti.
Tidak, saya tidak pernah ke New York tetapi saya ingin ke situ suatu hari nanti.	No, I have never been to New York, but I want to go sometime.
No, I have never been to New York, but I want to go sometime.	Tidak, saya tidak pernah ke New York tetapi saya ingin ke situ suatu hari nanti.
Saya berasal dari satu bandar yang kecil dekat dengan London.	I’m from a small town near London.
I’m from a small town near London.	Saya berasal dari satu bandar yang kecil dekat dengan London.
Kamu berasal dari mana?	Where are you from?
Where are you from?	Kamu berasal dari mana?
Beijing ialah satu bandar dalam Asia.	Beijing is a city in Asia.
Beijing is a city in Asia.	Beijing ialah satu bandar dalam Asia.
Saya dilahirkan dan dibesarkan di China.	I was born in New York and raised in China.
I was born in New York and raised in China.	Saya dilahirkan dan dibesarkan di China.
Di manakah kamu dilahirkan?	Where were you born?
Where were you born?	Di manakah kamu dilahirkan?
Di manakah kamu dibesarkan?	Where were you raised?
Where were you raised?	Di manakah kamu dibesarkan?
Dia dilahirkan di Afrika dan kemudiannya berpindah ke India dalam tahun dua ribu sepuluh.	She was born in Africa and then moved to India in two thousand ten.
She was born in Africa and then moved to India in two thousand ten.	Dia dilahirkan di Afrika dan kemudiannya berpindah ke India dalam tahun dua ribu sepuluh.
di	At
At	di
beredar	To leave
To leave	beredar
luar	Out
Out	luar
telefon awam	public telephone
public telephone	telefon awam
berhenti	To stop/Stop
To stop/Stop	berhenti
sampai	To arrive
To arrive	sampai
ke	To
To	ke
selamat datang	Welcome
Welcome	selamat datang
pintu	Gate
Gate	pintu
pertukaran wang	Money exchange
Money exchange	pertukaran wang
pergi	To travel
To travel	pergi
bertukar	to transfer
to transfer	bertukar
barat	West
West	barat
timurtimur	East
East	timurtimur
utara	North
North	utara
selatan	South
South	selatan
arah	direction
direction	arah
visa	Visa
Visa	visa
masuk	To enter
To enter	masuk
BIlakah kamu meninggalkan Los Angeles?	When did you leave Los Angeles?
When did you leave Los Angeles?	BIlakah kamu meninggalkan Los Angeles?
Saya sampai empat hari yang lalu.	I arrived four days ago.
I arrived four days ago.	Saya sampai empat hari yang lalu.
Bilakah kamu sampai di Los Angeles?	When did you arrive in Los Angeles?
When did you arrive in Los Angeles?	Bilakah kamu sampai di Los Angeles?
Ke manakah patut saya pergi?	Where should I go?
Where should I go?	Ke manakah patut saya pergi?
Bilakah kamu datang ke Los Angeles?	When did you come to Los Angeles?
When did you come to Los Angeles?	Bilakah kamu datang ke Los Angeles?
Saya pergi empat hari yang lalu.	I went four days ago.
I went four days ago.	Saya pergi empat hari yang lalu.
Saya datang empat hari yang lalu.	I came four days ago.
I came four days ago.	Saya datang empat hari yang lalu.
Pergi ke timur laut.	Go north east.
Go north east.	Pergi ke timur laut.
Kita akan sampai ke Eropah pada lima belas haribulan.	We will arrive to Europe on the fifteenth.
We will arrive to Europe on the fifteenth.	Kita akan sampai ke Eropah pada lima belas haribulan.
Bilakah kamu akan sampai ke Beijing?	When will you arrive in Beijing?
When will you arrive in Beijing?	Bilakah kamu akan sampai ke Beijing?
Pergi ke barat laut.	Go north west.
Go north west.	Pergi ke barat laut.
Kita akan pergi ke Eropah pada lima belas haribulan.	We will leave to Europe on the fifteenth.
We will leave to Europe on the fifteenth.	Kita akan pergi ke Eropah pada lima belas haribulan.
Bilakah kamu akan pergi ke Beijing?	When will you leave Beijing?
When will you leave Beijing?	Bilakah kamu akan pergi ke Beijing?
Saya tidah boleh pergi ke Amerika tanpa pasport dan visa.	You can’t come to the United States without a passport and a visa.
You can’t come to the United States without a passport and a visa.	Saya tidah boleh pergi ke Amerika tanpa pasport dan visa.
Kamu tidak boleh pergi ke India.	You can’t travel to India.
You can’t travel to India.	Kamu tidak boleh pergi ke India.
Berhenti dalam masa lima minit.	Stop in five minutes.
Stop in five minutes.	Berhenti dalam masa lima minit.
Ke mari dalam masa lima minit.	Come in five minutes.
Come in five minutes.	Ke mari dalam masa lima minit.
Di manakah pengurup wang itu?	Where is the money exchange please?
Where is the money exchange please?	Di manakah pengurup wang itu?
Beredar dalam masa lima minit.	Leave in five minutes.
Leave in five minutes.	Beredar dalam masa lima minit.
Masuk pintu timur.	Enter through the east gate.
Enter through the east gate.	Masuk pintu timur.
Masuk pintu barat.	Enter through the west gate.
Enter through the west gate.	Masuk pintu barat.
Di manakah telefon awam?	Where is the public telephone please?
Where is the public telephone please?	Di manakah telefon awam?
Bertukar di Los Angeles untuk pergi ke India.	Transfer in Los Angeles to get to India.
Transfer in Los Angeles to get to India.	Bertukar di Los Angeles untuk pergi ke India.
Pergi ke selatan.	Go south.
Go south.	Pergi ke selatan.
Arah yang manakah patut saya pergi?	Which direction should I go?
Which direction should I go?	Arah yang manakah patut saya pergi?
Pandu timur ke Jerman.	Drive east to Germany.
Drive east to Germany.	Pandu timur ke Jerman.
Bagaimanakah patut saya pergi ke Beijing?	How should I go to Beijing?
How should I go to Beijing?	Bagaimanakah patut saya pergi ke Beijing?
Pergi ke utara.	Go north.
Go north.	Pergi ke utara.
Bertukar di London untuk pergi ke India.	Transfer in London to get to India.
Transfer in London to get to India.	Bertukar di London untuk pergi ke India.
Pergi timur ke Jerman.	Travel east to Germany.
Travel east to Germany.	Pergi timur ke Jerman.
bising	Noisy
Noisy	bising
kedutaan	Embassy
Embassy	kedutaan
perhentian bas	Bus stop
Bus stop	perhentian bas
ateis	Atheist
Atheist	ateis
pejabat pos	Post office
Post office	pejabat pos
bunyi	Noise
Noise	bunyi
stesen	Station
Station	stesen
penganut agama Hindu	Hindu
Hindu	penganut agama Hindu
tingkat keempat	Fourth floor
Fourth floor	tingkat keempat
lapangan terbang	Airport
Airport	lapangan terbang
bank	Bank
Bank	bank
bangunan	Building
Building	bangunan
taman	Park
Park	taman
penganut agama Buddha	Buddhist
Buddhist	penganut agama Buddha
penganut agama Islam	Muslim
Muslim	penganut agama Islam
pencemaran	Pollution
Pollution	pencemaran
penganut agama Kristian	Christian
Christian	penganut agama Kristian
kuil	Temple
Temple	kuil
ke arah	Toward
Toward	ke arah
perpustakaan	Library
Library	perpustakaan
tempat letak kereta	Parking lot
Parking lot	tempat letak kereta
gereja	Church
Church	gereja
panggung wayang	Movie theater
Movie theater	panggung wayang
ke dalam	Into
Into	ke dalam
Mahukah kamu pergi ke kuil bersama-sama dengan saya?	Do you want to go to temple with me?
Do you want to go to temple with me?	Mahukah kamu pergi ke kuil bersama-sama dengan saya?
Tidak, saya penganut agama Buddha.	No, I’m Buddhist.
No, I’m Buddhist.	Tidak, saya penganut agama Buddha.
Saya telah pergi ke satu taman di Rusia.	I went to a park in Russia.
I went to a park in Russia.	Saya telah pergi ke satu taman di Rusia.
Saya telah pergi ke satu ladang di Rusia.	I went to a farm in Russia.
I went to a farm in Russia.	Saya telah pergi ke satu ladang di Rusia.
Mahukah kamu pergi ke gereja bersama-sama dengan saya?	Do you want to go to church with me?
Do you want to go to church with me?	Mahukah kamu pergi ke gereja bersama-sama dengan saya?
Tidak, saya penganut agama Hindu.	No, I’m Hindu.
No, I’m Hindu.	Tidak, saya penganut agama Hindu.
Naik bas untuk pergi ke stesen bas.	Take a bus to the bus station.
Take a bus to the bus station.	Naik bas untuk pergi ke stesen bas.
Di bangunan yang manakah kedutaan itu berada?	Which building is the embassy in?
Which building is the embassy in?	Di bangunan yang manakah kedutaan itu berada?
Di tingkat berapakah kedutaan itu berada?	Which floor is the embassy at?
Which floor is the embassy at?	Di tingkat berapakah kedutaan itu berada?
Naik bas untuk pergi ke perpustakaan.	Take a bus to the library.
Take a bus to the library.	Naik bas untuk pergi ke perpustakaan.
Elektronik berada di tingkat keempat.	The electronics are on the fourth floor.
The electronics are on the fourth floor.	Elektronik berada di tingkat keempat.
Di stesen yang manakah kedutaan itu berada?	Which station is the embassy at?
Which station is the embassy at?	Di stesen yang manakah kedutaan itu berada?
Elektronik berada di tingkat ketujuh.	The electronics are on the seventh floor.
The electronics are on the seventh floor.	Elektronik berada di tingkat ketujuh.
Itu ialah bangunan Kristian	That is a Christian building.
That is a Christian building.	Itu ialah bangunan Kristian
Itu ialah gereja Kristian.	That is a Christian church.
That is a Christian church.	Itu ialah gereja Kristian.
Bangunan apakah itu?	What kind of building is that?
What kind of building is that?	Bangunan apakah itu?
Panggung wayang itu ialah tempat di mana orang pergi untuk menonton wayang.	A theater is a place where people go to watch movies.
A theater is a place where people go to watch movies.	Panggung wayang itu ialah tempat di mana orang pergi untuk menonton wayang.
Ayah saya seorang penganut agama Islam.	My father is a Muslim.
My father is a Muslim.	Ayah saya seorang penganut agama Islam.
Apakah itu panggung wayang?	What is a theater?
What is a theater?	Apakah itu panggung wayang?
Ibu saya seorang ateis tetapi ayah saya seorang penganut agama Hindu.	My mother is an atheist, but my father is a Hindu.
My mother is an atheist, but my father is a Hindu.	Ibu saya seorang ateis tetapi ayah saya seorang penganut agama Hindu.
Di manakah stesen keretapi itu?	Where is the train station please?
Where is the train station please?	Di manakah stesen keretapi itu?
Di manakah kedutaan itu?	Where is the embassy please?
Where is the embassy please?	Di manakah kedutaan itu?
Pergi ke arah lapangan terbang.	Go towards the airport.
Go towards the airport.	Pergi ke arah lapangan terbang.
Saya tidak suka akan lapangan terbang kerana ia bising.	I don’t like the airport, because it’s noisy.
I don’t like the airport, because it’s noisy.	Saya tidak suka akan lapangan terbang kerana ia bising.
Saya tidak suka akan perhentian bas kerana ia bising.	I don’t like the bus stop, because it’s noisy.
I don’t like the bus stop, because it’s noisy.	Saya tidak suka akan perhentian bas kerana ia bising.
Pergi ke arah pejabat pos.	Go towards the post office.
Go towards the post office.	Pergi ke arah pejabat pos.
lampu isyarat	Traffic light
Traffic light	lampu isyarat
ruang dewan	Hallway
Hallway	ruang dewan
jambatan	Bridge
Bridge	jambatan
selekoh	Corner
Corner	selekoh
melepasi	Past
Past	melepasi
dilarang meletak kereta	No parking
No parking	dilarang meletak kereta
menyeberangi	To cross
To cross	menyeberangi
trafik	Traffic
Traffic	trafik
kanan	Right
Right	kanan
kemalangan	Accident
Accident	kemalangan
kawasan	Area
Area	kawasan
kiri	Left
Left	kiri
tangga	Stairs
Stairs	tangga
atas	Up/ Over
Up/ Over	atas
bawah	Down/Under
Down/Under	bawah
bukit	Hill
Hill	bukit
berhati-hati	Caution
Caution	berhati-hati
berikutnya	Next
Next	berikutnya
tanda berhenti	Stop sign
Stop sign	tanda berhenti
terakhir	Last
Last	terakhir
sungai	River
River	sungai
eskalator	escalator
escalator	eskalator
lif	Lift/Elevator
Lift/Elevator	lif
Ada kesesakan lalu lintas.	There was traffic.
There was traffic.	Ada kesesakan lalu lintas.
Saya terlambat kerana saya tidak dapat menyeberangi jambatan itu.	I’m late because I could not cross the bridge.
I’m late because I could not cross the bridge.	Saya terlambat kerana saya tidak dapat menyeberangi jambatan itu.
Saya terlambat kerana ada kemalangan.	I was late because there was an accident.
I was late because there was an accident.	Saya terlambat kerana ada kemalangan.
Saya tidak lewat.	I’m not late.
I’m not late.	Saya tidak lewat.
Mengapa anda lewat?	Why are you late?
Why are you late?	Mengapa anda lewat?
Kerana terdapat tanda berhenti.	Because there was a stop sign.
Because there was a stop sign.	Kerana terdapat tanda berhenti.
Pergi ke kiri melepasi eskalator dan selepas itu pergi terus.	Go left past the escalator and then go straight.
Go left past the escalator and then go straight.	Pergi ke kiri melepasi eskalator dan selepas itu pergi terus.
Turuni bukit itu dan selepas itu pergi ke kanan.	Go down the hill and then go right.
Go down the hill and then go right.	Turuni bukit itu dan selepas itu pergi ke kanan.
Pergi ke dalam ruang dewan itu.	Go to the hallway.
Go to the hallway.	Pergi ke dalam ruang dewan itu.
Pergi terus.	Go straight.
Go straight.	Pergi terus.
Turuni eskalator itu dan selepas itu pergi ke kiri.	Go down the escalator and then go left.
Go down the escalator and then go left.	Turuni eskalator itu dan selepas itu pergi ke kiri.
Menyeberangi jambatan itu.	Cross the bridge.
Cross the bridge.	Menyeberangi jambatan itu.
Pergi ke selekoh itu dan kemudian menyeberangi sungai itu.	Go to the corner and then cross the bridge.
Go to the corner and then cross the bridge.	Pergi ke selekoh itu dan kemudian menyeberangi sungai itu.
Saya akan berasa sangat gembira jika Erica datang melawat.	If Erica were to visit, I would be very happy.
If Erica were to visit, I would be very happy.	Saya akan berasa sangat gembira jika Erica datang melawat.
Itu adalah kawasan yang bagus kerana tidak begitu bising.	That's a nice area because there isn't much noise.
That's a nice area because there isn't much noise.	Itu adalah kawasan yang bagus kerana tidak begitu bising.
Tidak banyak pencemaran di situ.	There isn't much pollution.
There isn't much pollution.	Tidak banyak pencemaran di situ.
Saya akan berasa sangat sedih jika kamu ditimpa kemalangan.	If you were to get in an accident, I would be very sad.
If you were to get in an accident, I would be very sad.	Saya akan berasa sangat sedih jika kamu ditimpa kemalangan.
Itu adalah kawasan yang bagus.	That's a nice area.
That's a nice area.	Itu adalah kawasan yang bagus.
Ada banyak kesesakan lalu lintas.	There's a lot of traffic.
There's a lot of traffic.	Ada banyak kesesakan lalu lintas.
Pergi ke kiri selepas selekoh itu.	Go left after the corner.
Go left after the corner.	Pergi ke kiri selepas selekoh itu.
Di manakah eskalator?	Where is the escalator, please?
Where is the escalator, please?	Di manakah eskalator?
Naik tangga itu dan belok kiri selepas lif itu.	Go up the stairs and turn left after the elevator.
Go up the stairs and turn left after the elevator.	Naik tangga itu dan belok kiri selepas lif itu.
Di manakah lif?	Where is the elevator, please?
Where is the elevator, please?	Di manakah lif?
Naik tangga itu dan belok kanan selepas lif itu.	Go up the stairs and turn right after the elevator.
Go up the stairs and turn right after the elevator.	Naik tangga itu dan belok kanan selepas lif itu.
Pergi ke kiri selepas tanda berhenti itu.	Go left after the stop sign.
Go left after the stop sign.	Pergi ke kiri selepas tanda berhenti itu.
kilometer	kilometer
kilometer	kilometer
melalui	through
through	melalui
pintu masuk	Entrance
Entrance	pintu masuk
batu	Mile
Mile	batu
keluar	Exit
Exit	keluar
tiket keretapi	Train pass
Train pass	tiket keretapi
peta	Map
Map	peta
sekeliling	around
around	sekeliling
terus	straight
straight	terus
tanjakan	Ramp
Ramp	tanjakan
jalan	Street
Street	jalan
belakang	Back
Back	belakang
merentasi	Across
Across	merentasi
menunjuk	To show
To show	menunjuk
tiket bas	Bus pass
Bus pass	tiket bas
turun	Off
Off	turun
tengah	Middle
Middle	tengah
Saya akan tunjukkan kepada kamu.	I will show you.
I will show you.	Saya akan tunjukkan kepada kamu.
Sila membawa saya.	Please take me.
Please take me.	Sila membawa saya.
Minta maaf, di manakah pejabat pos?	Excuse me, where is the post office?
Excuse me, where is the post office?	Minta maaf, di manakah pejabat pos?
Minta maaf, di manakah saya boleh membeli peta?	Excuse me, where may I buy a map?
Excuse me, where may I buy a map?	Minta maaf, di manakah saya boleh membeli peta?
Minta maaf, di manakah saya boleh membeli bir?	Excuse me, where may I buy a beer?
Excuse me, where may I buy a beer?	Minta maaf, di manakah saya boleh membeli bir?
Minta maaf, di manakah saya boleh membeli tiket keretapi?	Excuse me, where may I buy a bus pass?
Excuse me, where may I buy a bus pass?	Minta maaf, di manakah saya boleh membeli tiket keretapi?
Sila datang bersama saya.	Come with me, please.
Come with me, please.	Sila datang bersama saya.
Sila tunjukkan kepada saya.	Please show me.
Please show me.	Sila tunjukkan kepada saya.
Turuni jalan itu dan seberangi jambatan itu.	Go down the street and cross the bridge.
Go down the street and cross the bridge.	Turuni jalan itu dan seberangi jambatan itu.
Mahukah kamu datang bersama dengan saya untuk membeli tiket keretapi?	Do you want to come with me to buy a train pass?
Do you want to come with me to buy a train pass?	Mahukah kamu datang bersama dengan saya untuk membeli tiket keretapi?
Naik tanjakan itu dan lalui jambatan itu.	Go up the ramp and under the bridge.
Go up the ramp and under the bridge.	Naik tanjakan itu dan lalui jambatan itu.
Pergi melalui pintu masuk yang di tengah dan kemudian itu pergi terus.	Go in through the middle entrance and then go straight.
Go in through the middle entrance and then go straight.	Pergi melalui pintu masuk yang di tengah dan kemudian itu pergi terus.
Pergi melalui pintu keluar yang di tengah dan kemudan itu naik tangga.	Go out through the middle exit and then go up the stairs.
Go out through the middle exit and then go up the stairs.	Pergi melalui pintu keluar yang di tengah dan kemudan itu naik tangga.
Belok di selekoh kanan yang berikutnya.	Take the next right.
Take the next right.	Belok di selekoh kanan yang berikutnya.
Dua ratus meter ke bank itu.	It’s two hundred meters to the bank.
It’s two hundred meters to the bank.	Dua ratus meter ke bank itu.
Berapa kilometerkah untuk pergi ke New York?	How many kilometers is it to New York?
How many kilometers is it to New York?	Berapa kilometerkah untuk pergi ke New York?
Berapa kilometerkah satu batu?	How many kilometers are there in twelve miles?
How many kilometers are there in twelve miles?	Berapa kilometerkah satu batu?
Enam puluh dua batu ialah kira-kira seratus kilometer.	Sixty two miles is about one hundred kilometers.
Sixty two miles is about one hundred kilometers.	Enam puluh dua batu ialah kira-kira seratus kilometer.
Lima puluh meter ke bank itu.	It’s fifty meters to the bank.
It’s fifty meters to the bank.	Lima puluh meter ke bank itu.
Turuni tangga itu dan kemudian belok di selekoh kanan yang kedua.	Go down the stairs and then take the second right.
Go down the stairs and then take the second right.	Turuni tangga itu dan kemudian belok di selekoh kanan yang kedua.
Berapa meterkah untuk pergi ke New York?	How many meters is it to New York?
How many meters is it to New York?	Berapa meterkah untuk pergi ke New York?
Satu batu ialah satu perpuluhan enam kilometer.	There are one point six kilometers in one mile.
There are one point six kilometers in one mile.	Satu batu ialah satu perpuluhan enam kilometer.
Turun dari keretapi di perhentian yang keempat dalam Tokyo.	Get off the train on the fourth stop in Tokyo.
Get off the train on the fourth stop in Tokyo.	Turun dari keretapi di perhentian yang keempat dalam Tokyo.
Selamat pulang.	Welcome back.
Welcome back.	Selamat pulang.
Saya akan balik tidak lama lagi.	I’ll be back soon.
I’ll be back soon.	Saya akan balik tidak lama lagi.
Saya dah balik.	I’m back.
I’m back.	Saya dah balik.
kolam	Pool
Pool	kolam
seronok	Fun
Fun	seronok
menonton	To watch
To watch	menonton
rancangan televisyen	Television Show
Television Show	rancangan televisyen
bermain	To play
To play	bermain
pantai	beach
beach	pantai
wayang	Movie
Movie	wayang
telanjang	Naked
Naked	telanjang
melukis	To draw
To draw	melukis
melayari internet	To surf the internet
To surf the internet	melayari internet
bodoh	Stupid
Stupid	bodoh
majalah	Magazine
Magazine	majalah
meluncur air	To surf
To surf	meluncur air
menakutkan	Scary
Scary	menakutkan
membuang masa	To waste time
To waste time	membuang masa
tidur sekejap	Nap
Nap	tidur sekejap
mendaki	To hike
To hike	mendaki
sendirian	Alone
Alone	sendirian
alat mainan	Toy
Toy	alat mainan
permainan video	Video game
Video game	permainan video
Apakah pendapat kamu tentang rancangan televisyen itu?	What did you think of the television show?
What did you think of the television show?	Apakah pendapat kamu tentang rancangan televisyen itu?
Apakah pendapat kamu tentang filem itu?	What did you think of the movie?
What did you think of the movie?	Apakah pendapat kamu tentang filem itu?
Apakah yang kamu suka buat untuk berseronok?	What do you like to do for fun?
What do you like to do for fun?	Apakah yang kamu suka buat untuk berseronok?
Saya suka pergi ke pantai.	I like to go to the beach.
I like to go to the beach.	Saya suka pergi ke pantai.
Pada pendapat saya, filem itu membosankan.	I thought that movie was boring.
I thought that movie was boring.	Pada pendapat saya, filem itu membosankan.
Pada pendapat saya, filem itu menakutkan.	I thought that movie was scary.
I thought that movie was scary.	Pada pendapat saya, filem itu menakutkan.
Saya suka menonton televisyen.	I like to watch television.
I like to watch television.	Saya suka menonton televisyen.
Saya perlu menghabiskan kerja rumah saya sebelum saya pergi mendaki.	I have to finish my homework before I go hiking.
I have to finish my homework before I go hiking.	Saya perlu menghabiskan kerja rumah saya sebelum saya pergi mendaki.
Jangan risau dengan kerja rumah awak.	Don’t worry about your homework.
Don’t worry about your homework.	Jangan risau dengan kerja rumah awak.
Apabila saya sampai ke rumah, saya akan tidur sekejap dan pergi bersenam selepas itu.	When I get home I will take a nap and then go exercise.
When I get home I will take a nap and then go exercise.	Apabila saya sampai ke rumah, saya akan tidur sekejap dan pergi bersenam selepas itu.
Saya perlu menghabiskan kerja saya sebelum saya pergi mendaki	I have to finish my work before I go hiking.
I have to finish my work before I go hiking.	Saya perlu menghabiskan kerja saya sebelum saya pergi mendaki
Jom pergi meluncur air hujung minggu ini.	Let’s go surfing this weekend.
Let’s go surfing this weekend.	Jom pergi meluncur air hujung minggu ini.
Biarkan kerja rumah awak.	Forget about your homework.
Forget about your homework.	Biarkan kerja rumah awak.
Jom pergi mendaki hujung minggu ini.	Let’s go hiking this weekend.
Let’s go hiking this weekend.	Jom pergi mendaki hujung minggu ini.
Apabila saya sampai ke rumah, saya akan tidur sekejap dan melayari internet selepas itu.	When I get home I will take a nap and then go surf the internet.
When I get home I will take a nap and then go surf the internet.	Apabila saya sampai ke rumah, saya akan tidur sekejap dan melayari internet selepas itu.
Saya sudah menghabiskan kerja rumah saya.	I finished my homework.
I finished my homework.	Saya sudah menghabiskan kerja rumah saya.
Ia bodoh.	It was stupid.
It was stupid.	Ia bodoh.
Kamu patut membuat kerja rumahmu dan bukannya melayari internet.	Instead of surfing the internet you should do your homework.
Instead of surfing the internet you should do your homework.	Kamu patut membuat kerja rumahmu dan bukannya melayari internet.
Saya seronok bersama kamu di pantai itu minggu lepas.	I had fun with you last week at the beach.
I had fun with you last week at the beach.	Saya seronok bersama kamu di pantai itu minggu lepas.
Adakah ia seronok?	Was it fun?
Was it fun?	Adakah ia seronok?
Jangan membuang masa kamu dengan menonton rancangan televisyen yang bodoh.	Don’t waste time watching stupid television shows.
Don’t waste time watching stupid television shows.	Jangan membuang masa kamu dengan menonton rancangan televisyen yang bodoh.
Ia seronok.	It was fun.
It was fun.	Ia seronok.
Saya benci untuk pergi mendaki bersendirian.	I hate going hiking alone.
I hate going hiking alone.	Saya benci untuk pergi mendaki bersendirian.
Saya suka tidur sekejap selepas bersenam.	After I exercise I like to take a nap.
After I exercise I like to take a nap.	Saya suka tidur sekejap selepas bersenam.
Saya suka membaca buku selepas bersenam.	After I exercise I like to read a book.
After I exercise I like to read a book.	Saya suka membaca buku selepas bersenam.
Saya tidak suka pergi ke pantai kerana ia membosankan.	I don’t like to go to the beach, because it’s boring.
I don’t like to go to the beach, because it’s boring.	Saya tidak suka pergi ke pantai kerana ia membosankan.
Saya tidak suka pergi ke pantai kerana ia jauh.	I don’t like to go to the beach, because it’s far away.
I don’t like to go to the beach, because it’s far away.	Saya tidak suka pergi ke pantai kerana ia jauh.
Mahukah kamu pergi ke kolam renang minggu ini?	Do you want to go to the pool this week?
Do you want to go to the pool this week?	Mahukah kamu pergi ke kolam renang minggu ini?
menang	To win
To win	menang
kalah	To lose
To lose	kalah
seri	To tie
To tie	seri
catur	Chess
Chess	catur
besbol	Baseball
Baseball	besbol
permainan papan	Board game
Board game	permainan papan
kemenangan	Victory
Victory	kemenangan
bersiar-siar	To sightsee
To sightsee	bersiar-siar
bola sepak	Soccer
Soccer	bola sepak
permainan kad	Card game
Card game	permainan kad
temu janji	Date
Date	temu janji
parti	Party
Party	parti
menari	To dance
To dance	menari
konsert	Concert
Concert	konsert
Apa yang hendak kamu lakukan?	What do you want to do?
What do you want to do?	Apa yang hendak kamu lakukan?
Mahukah kamu bermain bola sepak?	Do you want to play soccer?
Do you want to play soccer?	Mahukah kamu bermain bola sepak?
Siapa menang dalam pertandingan besbol itu?	Who won the baseball game?
Who won the baseball game?	Siapa menang dalam pertandingan besbol itu?
Siapa menang dalam pertandingan bola sepak itu?	Who won the soccer game?
Who won the soccer game?	Siapa menang dalam pertandingan bola sepak itu?
Apa yang patut kita lakukan?	What should we do?
What should we do?	Apa yang patut kita lakukan?
Mahukah kamu pergi bersiar-siar?	Do you want to go sightseeing?
Do you want to go sightseeing?	Mahukah kamu pergi bersiar-siar?
Awak selalu menang.	You always win.
You always win.	Awak selalu menang.
Kita seri.	We tied.
We tied.	Kita seri.
Kita kalah.	We lost.
We lost.	Kita kalah.
Erica adalah lebih mahir daripada saya dalam bola sepak.	Erica is better than me at soccer.
Erica is better than me at soccer.	Erica adalah lebih mahir daripada saya dalam bola sepak.
Adakah kamu menang?	Did you win?
Did you win?	Adakah kamu menang?
Erica adalah lebih teruk daripada saya dalam bola sepak.	Erica is worse than me at soccer.
Erica is worse than me at soccer.	Erica adalah lebih teruk daripada saya dalam bola sepak.
Adakah kamu kalah?	Did you lose?
Did you lose?	Adakah kamu kalah?
Kita menang.	We won.
We won.	Kita menang.
Sudikah kamu pergi ke konsert bersama-sama dengan kami?	Do you want to go to a concert with us?
Do you want to go to a concert with us?	Sudikah kamu pergi ke konsert bersama-sama dengan kami?
Dia hendak pergi ke parti.	He wanted to go to a party.
He wanted to go to a party.	Dia hendak pergi ke parti.
Ken kata dia hendak pergi menari tetapi dia sakit.	Ken said that he wanted to go dancing, but he was sick.
Ken said that he wanted to go dancing, but he was sick.	Ken kata dia hendak pergi menari tetapi dia sakit.
Saya sudah bertanya Ken jika dia hendak pergi ke konsert.	I asked Ken if he wanted to go to a concert.
I asked Ken if he wanted to go to a concert.	Saya sudah bertanya Ken jika dia hendak pergi ke konsert.
Apa yang dia katakan?	What did he say?
What did he say?	Apa yang dia katakan?
Ken kata dia sibuk.	Ken said that he was busy.
Ken said that he was busy.	Ken kata dia sibuk.
Saya tidak boleh pergi ke parti kerana jari saya sakit.	I can’t go to the party, because I have a hurt finger.
I can’t go to the party, because I have a hurt finger.	Saya tidak boleh pergi ke parti kerana jari saya sakit.
Saya tidak boleh pergi ke konsert.	I can’t go to the concert.
I can’t go to the concert.	Saya tidak boleh pergi ke konsert.
Itu temu janji yang teruk.	It was a bad date.
It was a bad date.	Itu temu janji yang teruk.
Jari saya patah.	I have a broken finger.
I have a broken finger.	Jari saya patah.
Saya ingin pergi mengurut dan bukannya ke parti.	I want to get a massage instead of going to a party.
I want to get a massage instead of going to a party.	Saya ingin pergi mengurut dan bukannya ke parti.
Itu temu janji yang baik.	It was a good date.
It was a good date.	Itu temu janji yang baik.
Saya ingin pergi mengurut dan bukannya ke konsert.	I want to get a massage instead of going to a concert.
I want to get a massage instead of going to a concert.	Saya ingin pergi mengurut dan bukannya ke konsert.
lembah	valley
valley	lembah
gambar	Picture
Picture	gambar
zoo	Zoo
Zoo	zoo
Buddha	Buddha
Buddha	Buddha
Allah	Allah
Allah	Allah
mempercayai	To believe
To believe	mempercayai
Jesus	Jesus
Jesus	Jesus
padang pasir	Desert
Desert	padang pasir
bernasib baik	Fortunate
Fortunate	bernasib baik
rumput	Grass
Grass	rumput
malang	Unfortunate
Unfortunate	malang
tasik	Lake
Lake	tasik
pasir	Sand
Sand	pasir
hutan	Forest
Forest	hutan
batu	Rock
Rock	batu
nyamuk	Mosquito
Mosquito	nyamuk
Minta maaf, saya tidak boleh kerana saya sibuk sekarang.	Sorry, I can’t, because I’m busy now.
Sorry, I can’t, because I’m busy now.	Minta maaf, saya tidak boleh kerana saya sibuk sekarang.
